N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
1;natallyFile_130_C78700xV600;47220000;78700;600;360000;179700;179101;599;0.997;0.003;7;38;38;1;1;1;179700;179700;0;1;0
2;natallyFILE_128_C62600xV300;18780000;62600;300;90000;44850;44551;299;0.993;0.007;7;34;35;0.97143;1;1;44850;44850;0;1;0
3;natallyFile_137_C67500xV800;54000000;67500;800;640000;319600;318801;799;0.998;0.002;7;35;36;0.97222;1;1;319600;319600;0;1;0
4;natallyFile_144_C4700xV300;1410000;4700;300;90000;44850;44551;299;0.993;0.0067;7;36;37;0.97297;1;1;44850;44850;0;1;0
5;natallyFile_149_C10900xV300;3270000;10900;300;90000;44850;44551;299;0.993;0.0067;7;36;36;1;1;1;44850;44850;0;1;0
6;natallyFile_159_C80700xV3;242100;80700;3;9;3;3;0;1;0;7;1;1;1;1;1;3;3;0;1;0
7;natallyFile_162_C26300xV500;13150000;26300;500;250000;124750;124251;499;0.996;0.004;7;36;36;1;1;1;124750;124750;0;1;0
8;natallyFile_204_C32300xV900;29070000;32300;900;810000;404550;403651;899;0.998;0.0022;7;37;38;0.97368;1;1;404550;404550;0;1;0
9;natallyFile_185_C18200xV300;5460000;18200;300;90000;44850;44551;299;0.993;0.0067;7;37;38;0.97368;1;1;44850;44850;0;1;0
10;natallyFile_212_C4000xV38;152000;4000;38;1444;703;703;0;1;0;7;10;10;1;1;1;703;703;0;1;0
11;natallyFile_169_C33000xV200;6600000;33000;200;40000;19900;19701;199;0.99;0.01;7;36;39;0.92308;1;1;19900;19900;0;1;0
12;natallyFile_192_C20500xV1200;24600000;20500;1200;1440000;719400;718201;1199;0.9983;0.0017;7;38;40;0.95;1;1;719400;719400;0;1;0
13;natallyFile_237_C94400xV300;28320000;94400;300;90000;44850;44551;299;0.9933;0.0067;7;35;37;0.94595;1;1;44850;44850;0;1;0
14;natallyFile_242_C55500xV100;5550000;55500;100;10000;4950;4851;99;0.98;0.02;7;20;21;0.95238;1;1;4950;4950;0;1;0
15;natallyFile_250_C33200xV400;13280000;33200;400;160000;79800;79401;399;0.995;0.005;7;37;40;0.925;1;1;79800;79800;0;1;0
16;natallyFile_279_C1400xV900;1260000;1400;900;810000;404550;403651;899;0.998;0.0022;7;38;40;0.95;1;1;404550;404550;0;1;0
17;natallyFile_382_C65900xV300;19770000;65900;300;90000;44850;44551;299;0.9933;0.0067;7;37;38;0.97368;1;1;44850;44850;0;1;0
18;natallyFile_410_C13800xV400;5520000;13800;400;160000;79800;79401;399;1;0.01;7;38;38;1;1;1;79800;79800;0;1;0
19;natallyFile_419_C81900xV11;900900;81900;11;121;55;55;0;1;0;7;2;2;1;1;1;55;55;0;1;0
20;natallyFile_426_C33500xV100;3350000;33500;100;10000;4950;4851;99;0.98;0.02;7;35;36;0.97222;1;1;4950;4950;0;1;0
21;natallyFile_435_C33700xV100;3370000;33700;100;10000;4950;4851;99;0.98;0.02;7;38;40;0.95;1;1;4950;4950;0;1;0
22;natallyFile_358_C77900xV1100;85690000;77900;1100;1210000;604450;601149;3301;0.9945;0.0055;7;38;40;0.95;1;1;604450;604450;0;1;0
23;natallyFile_371_C75100xV600;45060000;75100;600;360000;179700;179101;599;0.9967;0.0033;7;38;40;0.95;1;1;179700;179700;0;1;0
24;natallyFile_442_C82500xV500;41250000;82500;500;250000;124750;124251;499;0.996;0.004;7;38;39;0.97436;1;1;124750;124750;0;1;0
25;natallyFile_4_C74300xV3800;282340000;74300;3800;14440000;7218100;7216799;1301;0.9998;0.0002;7;38;40;0.95;1;1;7218100;7218100;0;1;0
26;natallyFile_16_C29700xV9300;276210000;29700;9300;86490000;43240350;43230250;10100;0.9998;0.0002;7;38;40;0.95;1;1;43240350;43240350;0;1;0
27;natallyFile_55_C60000xV4200;252000000;60000;4200;17640000;8817900;8816899;1001;0.9999;0.0001;7;38;40;0.95;1;1;8817900;8817900;0;1;0
28;natallyFile_61_C59900xV4900;293510000;59900;4900;24010000;12002550;12001525;1025;0.9999;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
29;natallyFile_81_C59900xV4900;293510000;59900;4900;24010000;12002550;12001525;1025;0.9999;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
30;natallyFile_103_C69300xV4000;277200000;69300;4000;16000000;7998000;7996988;1012;0.9999;0;7;38;40;0.95;1;1;7998000;7998000;0;1;0
31;natallyFile_109_C34100xV8500;289850000;34100;8500;72250000;36120750;36110650;10100;0.99972;0;7;38;40;0.95;1;1;36120750;36120750;0;1;0
32;natallyFile_124_C30000xV9700;291000000;30000;9700;94090000;47040150;47030150;10000;0.9998;0;7;38;40;0.95;1;1;47040150;47040150;0;1;0
33;natallyFile_142_C50400xV5000;252000000;50400;5000;25000000;12497500;12487500;10000;0.9992;0;7;38;40;0.95;1;1;12497500;12497500;0;1;0
34;natallyFile_157_C41300xV6100;251930000;41300;6100;37210000;18601950;18500850;101100;0.9946;0.01;7;38;40;0.95;1;1;18601950;18601950;0;1;0
35;natallyFile_170_C76800xV3300;253440000;76800;3300;10890000;5443350;5433350;10000;0.9982;0.0018;7;38;40;0.95;1;1;5443350;5443350;0;1;0
36;natallyFile_181_C71300xV3500;249550000;71300;3500;12250000;6123250;6111250;12000;1;0;7;38;40;0.95;1;1;6123250;6123250;0;1;0
37;natallyFile_186_C62400xV4200;262080000;62400;4200;17640000;8817900;8815899;2001;0.9998;0;7;38;40;0.95;1;1;8817900;8817900;0;1;0
38;natallyFile_195_C38000xV7200;273600000;38000;7200;51840000;25916400;25915399;1001;0.99996;0;7;38;40;0.95;1;1;25916400;25916400;0;1;0
39;natallyFile_205_C73300xV4000;293200000;73300;4000;16000000;7998000;7996599;1401;0.9998;0;7;38;40;0.95;1;1;7998000;7998000;0;1;0
40;natallyFile_270_C26100xV9900;258390000;26100;9900;98010000;49000050;48700005;300045;0.9939;0.01;7;38;40;0.95;1;1;49000050;49000050;0;1;0
