N.BASES;Nombre la base ;total de observaciones;filas(observaciones);variables;total de valores en la matriz de   similaridad;Rchic total similaridad;Pchic total similaridad;cant .valores no similares ;porcentaje de valores similares entre 2 matrices;porcentaje de no similaridad;decimales 6pchic  y 7 rchic;nodospchic ;nodosrchic;porcentaje nodos iguales;dendogramas r chic;dendrograma pchic;Rchic total similaridad(6);Pchic total similaridad(6);cant .valores no similares ;porcentaje de valores similares(6);porcentaje de no similaridad
211;natallyFile_127_C65000xV6600;429000000;65000;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
212;natallyFile_226_C77200xV7100;548120000;77200;7100;50410000;25201450;25160320;41130;1;0;7;38;40;0.95;1;1;25201450;25201450;0;1;0
213;natallyFile_227_C77200xV7100;548120000;77200;7100;50410000;25201450;25160320;41130;1;0;7;38;40;0.95;1;1;25201450;25201450;0;1;0
214;natallyFile_251_C59500xV9300;553350000;59500;9300;86490000;43240350;43139149;101201;1;0;7;38;40;0.95;1;1;43240350;43240350;0;1;0
215;natallyFile_261_C84900xV6600;560340000;84900;6600;43560000;21776700;21765699;11001;1;0;7;38;40;0.95;1;1;21776700;21776700;0;1;0
216;natallyFile_285_C71300xV6000;427800000;71300;6000;36000000;17997000;17975691;21309;1;0;7;38;40;0.95;1;1;17997000;17997000;0;1;0
217;natallyFile_288_C58600xV9600;562560000;58600;9600;92160000;46075200;46043199;32001;1;0;7;38;40;0.95;1;1;46075200;46075200;0;1;0
218;natallyFile_354_C73100xV7600;555560000;73100;7600;57760000;28876200;28855199;21001;0.9993;0;7;38;40;0.95;1;1;28876200;28876200;0;1;0
219;natallyFile_364_C93200xV5800;540560000;93200;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
220;natallyFile_365_C73100xV7600;555560000;73100;7600;57760000;28876200;28855199;21001;1;0;7;38;40;0.95;1;1;28876200;28876200;0;1;0
221;natallyFile_367_C93200xV5800;540560000;93200;5800;33640000;16817100;16716991;100109;0.99;0.01;7;38;40;0.95;1;1;16817100;16817100;0;1;0
222;natallyFile_475_C78600xV5200;408720000;78600;5200;27040000;13517400;13514300;3100;1;0;7;38;40;0.95;1;1;13517400;13517400;0;1;0
223;natallyFile_478_C54900xV7500;411750000;54900;7500;56250000;28121250;28101104;20146;1;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
224;natallyFile_476_C60300xV4900;295470000;60300;4900;24010000;12002550;11991399;11151;1;0;7;38;40;0.95;1;1;12002550;12002550;0;1;0
225;natallyFile_479_C43200xV8500;367200000;43200;8500;72250000;36120750;36110650;10100;1;0;7;38;40;0.95;1;1;36120750;36120750;0;1;0
226;natallyFile_480_C72700xV7000;508900000;72700;7000;49000000;24496500;24484550;11950;1;0;7;38;40;0.95;1;1;24496500;24496500;0;1;0
227;natallyFile_481_C51800xV9700;502460000;51800;9700;94090000;47040150;47020149;20001;1;0;7;38;40;0.95;1;1;47040150;47040150;0;1;0
228;natallyFile_482_C91100xV2300;209530000;91100;2300;5290000;2643850;2641739;2111;1;0;7;38;40;0.95;1;1;2643850;2643850;0;1;0
229;natallyFile_483_C75500xV6400;483200000;75500;6400;40960000;20476800;20465799;11001;1;0;7;38;40;0.95;1;1;20476800;20476800;0;1;0
230;natallyFile_485_C75400xV2400;180960000;75400;2400;5760000;2878800;2871679;7121;1;0;7;38;40;0.95;1;1;2878800;2878800;0;1;0
231;natallyFile_197_C51000xV8800;448800000;51000;8800;77440000;38715600;38710499;5101;1;0;7;38;40;0.95;1;1;38715600;38715600;0;1;0
232;natallyFile_201_C12300xV7800;95940000;12300;7800;60840000;30416100;30312110;103990;1;0;7;38;40;0.95;1;1;30416100;30416100;0;1;0
233;natallyFile_202_C23900xV7600;181640000;23900;7600;57760000;28876200;28855199;21001;1;0;7;38;40;0.95;1;1;28876200;28876200;0;1;0
234;natallyFile_205_C73300xV4000;293200000;73300;4000;16000000;7998000;7996599;1401;1;0;7;38;40;0.95;1;1;7998000;7998000;0;1;0
235;natallyFile_207_C45100xV1600;72160000;45100;1600;2560000;1279200;1268100;11100;0.99;0.01;7;38;40;0.95;1;1;1279200;1279200;0;1;0
236;natallyFile_209_C22400xV9500;212800000;22400;9500;90250000;45120250;45100159;20091;1;0;7;38;40;0.95;1;1;45120250;45120250;0;1;0
237;natallyFile_210_C70500xV2500;176250000;70500;2500;6250000;3123750;3122550;1200;1;0;7;38;40;0.95;1;1;3123750;3123750;0;1;0
238;natallyFile_213_C7000xV3500;245000000;70000;3500;12250000;6123250;6111250;12000;1;0;7;38;40;0.95;1;1;6123250;6123250;0;1;0
239;natallyFile_214_C54900xV7500;411750000;54900;7500;56250000;28121250;28101104;20146;0.9993;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
240;natallyFile_215_C6300xV6200;391840000;63200;6200;38440000;19216900;19210400;6500;1;0;7;38;40;0.95;1;1;19216900;19216900;0;1;0
241;natallyFile_216_C58500xV6400;374400000;58500;6400;40960000;20476800;20465799;11001;1;0;7;38;40;0.95;1;1;20476800;20476800;0;1;0
242;natallyFile_217_C52800xV9500;501600000;52800;9500;90250000;45120250;45100159;20091;1;0;7;38;40;0.95;1;1;45120250;45120250;0;1;0
243;natallyFile_218_C86900xV5300;460570000;86900;5300;28090000;14042350;14037349;5001;0.9996;0;7;38;40;0.95;1;1;14042350;14042350;0;1;0
244;natallyFile_219_C54900xV7500;411750000;54900;7500;56250000;28121250;28101104;20146;1;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
245;natallyFile_220_C70500xV2500;176250000;70500;2500;6250000;3123750;3122550;1200;1;0;7;38;40;0.95;1;1;3123750;3123750;0;1;0
246;natallyFile_221_C86900xV5300;460570000;86900;5300;28090000;14042350;14037349;5001;1;0;7;38;40;0.95;1;1;14042350;14042350;0;1;0
247;natallyFile_222_C54900xV7500;411750000;54900;7500;56250000;28121250;28101104;20146;1;0;7;38;40;0.95;1;1;28121250;28121250;0;1;0
248;natallyFile_223_C81700xV1200;98040000;81700;1200;1440000;719400;718201;1199;1;0;7;38;40;0.95;1;1;719400;719400;0;1;0
249;natallyFile_224_C52600xV3700;194620000;52600;3700;13690000;6843150;6841059;2091;0.9997;0.00031;7;38;40;0.95;1;1;6843150;6843150;0;1;0
250;natallyFile_225_C31500xV3900;122850000;31500;3900;15210000;7603050;7591600;11450;1;0;7;38;40;0.95;1;1;7603050;7603050;0;1;0
